,Unnamed: 0,Links,Region,Company,Title,Employment Type,Seniority,Industry,Salary,Payment,Description,Requirements
25,25,https://www.mycareersfuture.sg/job/analytics-architect-icon-consulting-group-440ccbcb6320596315d08cbc26e03cc1,Central,ICON CONSULTING-GROUP PTE. LTD.,Analytics Architect,Permanent,Professional,Information Technology,"$15,000to$20,000",Monthly,"Roles & Responsibilities
Solution Architect
  Description
  A Solution Architect is expected to demonstrate expert competencies in presales support including positioning, estimating, creating/refining statements of work and closing solution and services opportunities. This includes excellent customer presentation skills, technical documentation, and periodic complex service delivery in their designated solution focus area. Maintains deep technical subject matter expertise in areas related to BIDW (Greenfield implementation), Big Data, Cloud (Azure & AWS) & Analytics. Follows and analyses industry trends in order to contribute to company and industry thought-leadership.
  In this role the successful candidate will work in an energetic, fast-pace and extremely professional environment to understand customers’ requirements of Greenfield BIDW Implementation, Big Data & Analytics and find solutions to their business problems.
    Qualifications
Bachelors in Computer Science Engineering (or equivalent) and an MBA from reputed B-school
10 plus years of IT experience with key focus on Business Intelligence, Analytics, Oracle BI Stack (Oracle 12c, ODI, Golden Gate, OBIEE, etc..)
Experience in Financial Domain required.
Working at customer locations across the globe, presenting solutions, putting forward Big Data domain specific information within the context of a sales campaign etc.
Good analytical and problem solving skills
Fluent in relational database concepts and flat file processing concepts
Must be knowledgeable in software development lifecycles/methodologies i.e. Agile & DevOps
Has strong presentation and collaboration skills and can communicate all aspects of the job requirements, including the creation of formal documentation
Strong problem solving, time management and organizational skills
 ","Requirements
Desired Skills:
Excellent Customer Presentation skills mandatory
Experience in Big Data Analytics solutions using Hadoop & Azure landscape
Experience in Business Data Analytics tools such as Microstrategy required, MS Power BI, Tableau, Qlik desired.
Exposure to databases such Oracle 12c, NOSQL DBs, Essbase etc…
Exposure to cloud technologies like Azure or AWS
Exposure to advanced analytics and statistical modeling using tools such as SAS or R a plus
·         Viewed as the trusted advisor to lead analysis of the solution technical environment, assess current state, identify future state, conduct gap analysis, create and communicate the vision, and recommend prioritization from an architecture perspective.
·         Assesses the readiness of the technical environment (including the systems, tools, technologies, processes, and resource requirements) to implement the architecture.
·         Proposes, recommends or facilitates the selection of appropriate tools, techniques, and resources for all technical components of the solution."
26,26,https://www.mycareersfuture.sg/job/finance-manager-ito-standard-chartered-bank-1380582446cd0645db18375eef1e61d7,East,STANDARD CHARTERED BANK,"Finance Manager, ITO",Full Time,"Middle Management, Manager","Accounting / Auditing / Taxation, Banking and Finance","$7,500to$10,000",Monthly,"Roles & Responsibilities
Key Responsibilities 
This role will provide all levels of FP&A support to the CFO for ITO and Investments. The role will drive the performance management of the organisation in partnership with the CIO CFO teams and the Global Financial Services organisation.
Analyze current and past trends in key performance indicators including all areas of revenue, cost of sales, expenses and capital expenditures
Monitor performance indicators, highlighting trends and analysing causes of unexpected variance
Supervision of Financial Analyst(s)
Oversee and manage the continued development of Budgeting, Financial Forecasting, Operating Plan and Modelling tools
Ad-Hoc Reporting and Analysis
Implement and work with a Business Intelligence Tool and Dashboard reports
Develop financial models and analyses to support strategic initiatives
Analyze complex financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes
Supporting Senior Management Team and Departments heads with in-depth analysis
Prepare presentations to ITO Management team","Requirements
Key Requirements
Degree qualified with at least 10 years of prior experience in performance management, financial planning and analysis, experience with technology finance will be an added advantage
High quality communication skills both orally and written business English, able to convey complex messages quickly and succinctly to various senior stakeholders
High levels of drive and resilience along with attention to detail
Track record of working in a very organised way, multi-tasking, prioritising, and setting and achieving deadlines (both short and long term)
Excellent communication and presentation skills, able to convey complex messages quickly and succinctly to various senior stakeholders
Capacity to think creatively and laterally; excellent reasoning skills and the ability to make sound judgments
How to Apply
Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1800024557&lang=en  to apply now and take the next step in fulfilling your potential.
You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com.
To help speed up your application, please note the following:
You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role
Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information)
We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application
It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience.
Diversity & Inclusion
Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential.
   "
27,27,https://www.mycareersfuture.sg/job/senior-database-specialist-streetsine-singapore-4a0b0652a25373f59a1f076711e5de0a,Central,STREETSINE SINGAPORE PTE. LTD.,Senior Database Specialist,Full Time,Middle Management,Information Technology,"$4,000to$6,000",Monthly,"Roles & Responsibilities
Description: Senior Database Specialist
 Senior Database Specialist Job Purpose: 
As Senior Database Specialist, you will be working closely across mostly two departments: Engineering and Business Intelligence to provide data support and taking the lead in maintaining and optimizing StreetSine’s Database Infrastructure. You will be the pioneer of this specialized department to which you will lead and mentor future database developers.
  Senior Database Specialist Job Duties:
Responsible for the stability and optimization of StreetSine’s Database System.
Responsible for reviewing and approving incoming Database request sent by Software Engineers.
Responsible for security and backup of StreetSine’s Database System.
Responsible for providing datasets and other information for Business Analysts.
Responsible for understanding the domain knowledge of real estate working closely with Business Intelligence department.
Responsible of the understanding of the use and purpose of database tables amongst the Engineering department.
Collaborates and adds value through participation in concept reviews, providing comments and suggestions
Is expected to proactively suggest and propose good and sensible solutions and to provide consultancy and advice, not just take down requirements as-is.
Works collaboratively and professionally with other StreetSine associates in cross functional teams to achieve goals
Use analytical tools to assess and improve the adoption of a product using our system’s data.
Apply a sense of urgency, commitment and focus on the right priorities in developing solutions in a timely fashion.
Must be willing to take up new challenges.
Expected to work closely with the project manager, development team and business intelligence team to deliver solutions on time.
Expected to work closely with Customer Service/Sales team to resolve clients issues regarding data in a timely manner
Apply StreetSine’s Mission Statement and Quality Policy and enthusiastically exhibit a desire to see StreetSine succeed
Perform other duties as necessary
 ","Requirements
Specific skills/experience:
Bachelor’s Degree in Computer Information Systems or related field (bonus points if concentration in Database Management and minor in Database Analysis)
Five years minimum experience and expert knowledge with MySQL
Experience with Linux (bonus points if have experience with ssh and server security)
Experience with supporting coding languages, specifically: Python, Perl, Java, R
Must be able to lead and direct a small team of database developers.
Must be willing to communicate effectively and efficiently with all party members that rely on supportive data."
28,28,https://www.mycareersfuture.sg/job/trade-analyst-coca-cola-singapore-beverages-91d2af192b235595a7a879fa9b868555,South,COCA-COLA SINGAPORE BEVERAGES PTE. LTD.,Trade Analyst,"Permanent, Full Time",Executive,Marketing / Public Relations,"$2,400to$3,300",Monthly,"Roles & Responsibilities
Responsible for providing business intelligence and trade insights by leveraging available commercial data and external research information to support business decisions and action planning. The incumbent shall act as a business partner to channel and commercial team members to provide required analysis to develop trade plans for specific channels, products or categories. This role shall also support in the development of Sales Incentive Schemes, cycle plans and cycle briefs for the Sales teams.
  Key Duties / Responsibilities
1)Utilizing appropriate and relevant data sources from Internal (Margin Minder) and External (Nielsen, Euromonitor, Kantar) for coming out with a repertoire of sales analyses and reports to develop strategies and action plans.
2)Analyze beverage and FMCG landscape to identify relevant market trends and share recommendations to Commercial Leadership.
3)Collate and monitor competitive landscape for market intelligence and highlight trends and insights for action/reaction planning.
4)Support the development of Annual Commercial Plans, Annual Channel Plans and Joint Business Plans for specific customers.
5)Collaborate closely with Sales Teams, Commercial Planning, Customer Development teams to collate information for development of business strategies, performance tracking and post-implementation reviews.
6)Support in the development and deployment of Sales Incentive Scheme, working closely with Commercial Analytics team to provide routine tracking reports.
7)Support in the preparation of cycle plans with Trade Marketing team members.
8)Responsible to collate and finalize cycle brief materials for sales force to ensure execution excellence.
9)Check source data to verify completeness, accuracy and report inaccuracies.
10)Contributing to team & commercial results through delivering ad-hoc assignments from supervisor.
  Other Duties
1.  Exercise responsible and professional behavior at all times and positively representing the Company.
2.  Ensure high standards of professional presentation and grooming.
3.  Be flexible in your job function and perform any other reasonable duties and responsibilities which may be assigned to you, including redeployment to other department/areas if required, in order to meet business demands and guest service needs.
4.  Respond to changes in the Commercial function as dictated by the industry and Company.
  Core competencies:
-Drives Innovative Business Improvements: Develops new insights into solutions that result in organizational improvements
-Balances Immediate and Long Term Priorities: Seeks to meet critical objectives while considering the impact of those decisions and activities on the ability to achieve long-term goals.
-Delivers Results: Focuses on the critical few objectives that add the most value and channels own and others’ energy to consistently deliver results that meet or exceed expectations
-Imports and Exports Good Ideas: Relentlessly seeks, shares and adopts ideas and best practices in and outside the Company and embraces change introduced by others.
-Collaboration & Team Work: Able to work with different levels of people, internal and external stakeholders, promote a cooperative environment and good working relationship with others.","Requirements
Qualification Criteria
•Minimum Diploma/Bachelor's Degree in Business Administration or related major
•Minimum 2-3 years of relevant experience, preferably in the FMCG environment
•Excellent interpersonal skills. Team player and able to work with different level of people.
•Detail-oriented, able to zoom in the detail from in the large database for solution
•Able to learn fast in a dynamic environment
•Technically savvy with business systems (Microsoft Office Applications, CRM platforms, SFA)"
29,29,https://www.mycareersfuture.sg/job/sales-cum-marketing-manager-brinks-singapore-8947ce2208edf5dcf7ad2e37131e0de3,East,BRINK'S SINGAPORE PTE LTD,Sales cum Marketing Manager,Permanent,Manager,"Marketing / Public Relations , Sales / Retail",,,"Roles & Responsibilities
BRINK'S SINGAPORE PTE LTD
Job Summary
Salary:   Undisclosed
Location: Singapore - East
Work Type: Permanent/Full Time
Min. Education Level: Degree
Field of Study: Business Management
Years of Experience: 3 - 5 years
Brink’s Singapore Pte Ltd is a wholly owned subsidiary of The Brink’s Company in US. Based in Richmond, Virginia, Brink's is a global leader in security-related services for banks, financial institutions, mines, retailers, diamond and jewelry industries, pharmaceuticals and a variety of other commercial and governmental customers.  From armored transportation to cash management, our services also include money processing, long-distance transport of valuables, vaulting and other value-added solutions. We deliver innovative services and solutions that contribute to critical business intelligence, improved productivity and enhanced security.
We currently employ over 64,000 people worldwide, serving customers in more than 100 countries. Today, thousands of companies across the globe entrust Brink's with their most precious assets.
We are currently looking for a dynamic & results oriented Sales & Marketing Manager to be part of the Singapore team.
The Role
You will report to the Head of Business Development and will be responsible for managing client relationships, developing new business as well as sourcing new channels of business.
Job Responsibilities
Proactively develop and maintain client relationships
Widen sales avenues & drive sales
Support Head of Business Development in major business negotiations
Manage timely contract renewals
Ensure payments are met within grace period
Liaise with Operations Team to fulfill customer SLAs","Requirements
Degree holder in a related field
Proven track record of achieving sales targets; gained over 3 -5  years in a similar role
Experience in international movements of goods, freight forwarding or logistics industry
Well versed in required Presentation skills including the use of presentation tools
Proficiency in Microsoft Office applications
Effective communication skills
High achiever and self-starter
Skilled in working cross culturally and in developing relationships with colleagues globally
Benefits 
Competitive Remunerations
Medical & Dental Benefits
Group Insurance
Career Development for employees with consistently above average work performance
  Interested candidates may email your resume, reasons for leaving your current position, current salary and expected salary to surriya.chelladurai@brinksglobal.com"
30,30,https://www.mycareersfuture.sg/job/head-operations-security-brinks-singapore-ca402e37969f7dbb4d2bd5140b0d2311,East,BRINK'S SINGAPORE PTE LTD,HEAD OF OPERATIONS AND SECURITY,"Permanent, Full Time",Manager,"Logistics / Supply Chain, Security and Investigation",,,"Roles & Responsibilities
BRINK'S SINGAPORE PTE LTD
Job Summary
Work Type: Permanent / Full Time
Min. Education Level: Degree
Field of Study: Logistics or Business Management disciplines
Years of Experience: 12
Skills: Risk Management, Interpersonal skills, Service Oriented Mindset
Brink’s Singapore Pte Ltd is a wholly owned subsidiary of The Brink’s Company in US. Based in Richmond, Virginia, Brink's is a global leader in security-related services for banks, financial institutions, mines, retailers, diamond and jewelry industries, pharmaceuticals and a variety of other commercial and governmental customers.  From armored transportation to cash management, our services also include money processing, long-distance transport of valuables, vaulting and other value-added solutions. We deliver innovative services and solutions that contribute to critical business intelligence, improved productivity and enhanced security.
  We currently employ over 64,000 people worldwide, serving customers in more than 100 countries. Today, thousands of companies across the globe entrust Brink's with their most precious assets.
  We are currently looking for a dynamic & results oriented Head of Operations & Security to be part of the Singapore team.
  Responsibilities
Manage & monitor risks related to security of business operations;
Maintain regulatory and corporate compliance;
Lead investigations for logistics incidents &/or bulk cash discrepancies;
Have existing good relationships with authorities and law enforcement bodies;
Identify and deploy new technology/capabilities that enhance security of operations;
Manage and lead the company’s security response in crisis situations.","Requirements
Requirements
Candidate must possess at least a Bachelor's Degree in Security, Logistics Business Management;
Minimum 12 years of management experience in sizable secure logistics or 3rd party logistics organisation;
Candidate with law enforcement and investigation experience will have an advantage;
Competent in restructuring and process re-engineering; 
Ability to analyze financial data;
Strong time management skills;
Excellent communication and presentation skills;
Comfortable working in a culturally diverse environment & having matrix reporting structure;
Capable of developing good relationships with global partners;
Based in Singapore & able to travel within the Asia Pacific Region."
31,31,https://www.mycareersfuture.sg/job/sap-consultant-jvkm-consultants-d29b0c5ad1256a54e04d20c6925c1218,East,JVKM CONSULTANTS PTE. LTD.,SAP Consultant,Full Time,Manager,Information Technology,"$6,500to$7,500",Monthly,"Roles & Responsibilities
Able to configure in SAP using IMG function based on the business requirements
Able to prepare Detail functional specifications for customization
Provide Training to end users on the SAP functions
Able to provide support to business operation on the SAP FI issues, analyze the problem by debugging & resolve.
Able to asses the SAP OSS notes and recommend to apply to resolve the issues.
Familiarity with Peoplesoft HCM is an added advantage
Familiarity with Business intelligence tools & Unix shell script is an advantage","Requirements
-> Minimum Bachelors degree
-> Minimum 2 years experience in IT "
32,32,https://www.mycareersfuture.sg/job/marketing-manager-warc-28e3e8d6be0e77169b0f38da7ed69dc1,Central,WARC LIMITED (SINGAPORE BRANCH),Marketing Manager,Full Time,Middle Management,Advertising / Media,"$5,000to$6,000",Monthly,"Roles & Responsibilities
WARC is a global business intelligence company that serves the marketing, advertising and media industry. As a trusted and authoritative source of knowledge, we help our global client base – advertisers, advertising and media agencies, media owners and research companies – make smarter decisions.
WARC is looking for an experienced performance marketer to lead all marketing activities for the Asia Pacific region. This is a permanent role based in WARC’s Asia office in Singapore. The role is primarily about leading the content marketing strategy across the region and generating leads for sales.
Major responsibilities include:
Managing the marketing budget for APAC
Managing regional social media accounts [including paid] in-line with the regional strategy
Regionalising email marketing campaigns and ideating and executing regional campaigns
Supporting sales in warming up the lead pipeline through marketing automation campaigns
Managing SEM in the region
Managing WARC events and media partnerships for external events
Creating marketing collateral
Running webinars
Key skills and experience include:
Excellent knowledge of the advertising and marcomms industry, from a global as well as regional perspective
A strong content marketing background
Excellent writing skills and the ability to condense information into short, digestible formats
Good understanding of performance marketing how to use analytics to optimise campaigns
Good working knowledge of CRMs (Marketo in particular is a bonus)
Lead gen experience from a range of digital and offline channels
Creative skills around new campaigns and working with designers","Requirements
At least three years experience in B2B marketing, with knowledge of the advertising and marketing industry.
 "
33,33,https://www.mycareersfuture.sg/job/business-intelligence-project-manager-ninja-logistics-2abca6a0e3f40defff5a053cc0e80826,South,NINJA LOGISTICS PTE. LTD.,Business Intelligence Project Manager,"Permanent, Full Time",Manager,"Information Technology, Logistics / Supply Chain","$8,000to$9,500",Monthly,"Roles & Responsibilities
As the bridge between stakeholders and the Business Intelligence team, you’ll be responsible for making a direct impact on the business by leveraging our data capabilities. Your work will involve a mix of project management, stakeholder management and hands-on data analysis.
Responsibilities
Spearhead the end-to-end delivery of BI projects.
Gather requirements from stakeholders in Operations, Sales and Marketing and keenly understand end-user needs in every country.
Work closely with data analysts and data engineering team to ensure timely delivery of projects.
Clearly communicate results and actionables to stakeholders. Collaborate with them to drive adoption.
Think strategically around how we address and support business needs.
Develop and automate dashboards, analyses and reports to support business functions.
Identify opportunities for improving operational efficiency and sales growth.
Provide assistance to local teams for new project launches and major strategic initiatives.","Requirements
Strong communications skills
Ability to empathize with people
Proficiency with SQL
Experience with Python, R (or other tools for statistical analysis) and data visualization tools a plus
BS degree in Computer Science, Engineering, Mathematics or Statistics
More than 8 years of experience in analytics and process improvement-related initiatives
Naturally curious and have excellent analytical and problem-solving skills
Continuous improvement mindset
Passion for data
Willingness to travel (~ 30% of the time)"
34,34,https://www.mycareersfuture.sg/job/senior-portfolio-planning-alignment-manager-johnson-johnson-21bfd6a8cb67dc9e7125940802589439,Central,JOHNSON & JOHNSON PTE. LTD.,Senior IT Portfolio Planning & Alignment Manager,Permanent,Manager,Information Technology,"$8,000to$16,000",Monthly,"Roles & Responsibilities
Janssen Pharmaceuticals discovers and develops innovative medical solutions to address important unmet medical needs in oncology, immunology, neuroscience, infectious diseases and vaccines, and cardiovascular and metabolic diseases. At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found. 
Janssen Asia Pacific initiates various business programs to drive business growth across the region, with ongoing capability building initiatives in business intelligence, marketing excellence, customer engagement & management, patient engagement through use of emerging technologies, i.e. artificial intelligence, robotic process automation and data science. 
  The Senior IT Planning & Portfolio Alignment Manager is responsible to establish, monitor and manage the portfolio for Pharma Commercial JJT - ASPAC region to these initiatives.  A robust Portfolio Management process is critical for enabling key decisions on where to focus both time and resources in order to ensure that JJT continues to deliver value to Johnson & Johnson and the businesses that we support.  The scope of “portfolio” may be applied to all JJT resources, including project investment, JJT assets and labor resources.
The individual will have the following responsibilities:
Project Portfolio Management
Guiding the selection, prioritization and balancing of the portfolio based on business and JJT strategic objectives and financial/resource constraints.  
Continuous review of the portfolio and recommending reallocation, reprioritization and optimization of the portfolio based on progress of programs/projects, technology obsolescence, and evolving organizational objectives.
Providing key stakeholders with timely assessment of projects pending selection, performance metrics and identification/recommendation to address portfolio issues affecting performance.
Ensures the completeness and accuracy of portfolio data with project managers and other stakeholders, including Senior Management.
Measure and monitor key performance indicators including portfolio value and project financials, including Plan vs. Committed vs. Actuals and driving benefit realization. 
Support leadership level decision processes by providing timely communication to stakeholders on progress, changes and portfolio impacts.
Drive/facilitate the portfolio governance processes and reviews, inclusive of Business Planning processes.  
Provide input to and participate in key program/project reviews, including documenting executive summaries.
Provide education and support for the portfolio related data and processes.
Collaborate with peers to develop and execute portfolio and capacity planning processes within Pharm and across the sectors.  Continually strive to improve and evolve processes and develop organizational competencies in project planning and execution, resource management and benefit realization. 
Establish, execute and monitor resource management processes as needed.
Develop and deliver communication/change management and training in support of Portfolio activities.
Measure and understand the total JJT financial health for scope of responsibility.  Be able to articulate financial implications of current year portfolio on future year operating costs.
• Develop processes to be able to report on budget to actual spend of the portfolio. Participate in cost reduction activities to as requested.
Drive Total Cost of Ownership (TCO) awareness of portfolio.
Application Portfolio Management
Serve as “BT Application Champion” role for Commercial – ASPAC applications.  Responsibilities include:
Ensure completeness and accuracy of all in-scope configuration items in the Configuration Management Database (CMDB) following Service Asset and Configuration Management (SACM) processes.
Establish forum in the region to communicate to Technical Application Owners (TAOs)
Develop understanding of application portfolio and be able to report out on overall inventory of application and underlying infrastructure.  Be able to tie back to investment portfolio for evaluating technology lifecycle management investment needs. 
Coordinate and track needed TAO remediation activities.   Ensure all relationships impacted by change activities are maintained in the CMDB.  Coordinates ad-hoc requests requiring TAO engagement to ensure education and compliance within scope.  
Team member of Application Management Office (AMO) and within group, assist in the development of AMO processes.  Serve as a liaison and key contact for TAO’s for CMDB and JAI.  Also, provide project support for enterprise initiatives (SDDC, Cloud Services etc.) requiring TAO input and analysis. 
Ownership and understanding of application landscape and corresponding technologies within SubGOC.
Aide in driving Technology Lifecycle management process/efforts in the region.
Senior Leadership Team (SLT) Operations & JJT Communications
Organize and plan SLT meetings and events (such as monthly/quarterly review session, Business Planning activities etc.).  Build agendas with input from the leadership team, organize presentation materials and coordinate presenters.
Manage Enterprise JJT reporting requirements for Strategic Investments to senior leaders
Mature JJT Communications of JJT accomplishments highlighting business value
Drive organization headcount processes ensuring transparency of vacancies and managing attrition to achieve management decisions
Serve as focal point to Finance organization to achieve financial objectives.","Requirements
The successful candidate must possess -
Bachelor’s degree (Business or Computer Science preferred). 
A minimum of 8-10 years progressive IT work experience is required. 
Ability to think strategically and work independently is a must.
Ability to understand the global and regional strategic goals and priorities and how the portfolio supports them. 
Strong knowledge of portfolio management methodologies and tools, including project selection methods, prioritization processes, and models to support portfolio decision making. 
Sound financial acumen with the ability to reconcile budgets.
Strong knowledge of program and project management processes and financial processes are required. 
Must be highly analytical with a focus on business results. 
Strong collaboration skills are required. 
Must be a results-driven with ability to effectively execute a variety of activities concurrently across local and global organizations.
Strong presentation, facilitation and communication skills and the ability to influence without authority are required. 
Ability to translate data into information for executive audiences. 
Proficient in use of standard office automation tools (Office 365), such as MS Excel, Word, PowerPoint, SharePoint. 
Ability to work effectively with all levels of the organization.   "
35,35,https://www.mycareersfuture.sg/job/practice-lead-project-management-swift-terminal-services-6305ca2f3bc05f239f3aabce7fc02a8a,Central,S.W.I.F.T. TERMINAL SERVICES PTE. LTD.,Practice Lead Project Management,Permanent,Senior Management,Banking and Finance,"$19,200to$22,300",Monthly,"Roles & Responsibilities
  SWIFT provides the platform, messaging, standards, and products & services to over 11,500 customers in 212 countries and territories. It is the lifeblood of the global financial community, facilitating payments, securities, trade finance and FX transactions. We operate a global financial network, with interfaces and integration software footprint at client premises, enabled by a fast growing services business. Financial crime compliance and business intelligence is a new and growing part of our product portfolio.
Responsibilities:
Your responsibilities will be to:
  Manage projects of medium to large size/complexity/risk, ensuring effectiveness in meeting customer's needs, and successfully deliver the project's expected outcomes.
Assisting the sales teams to prepare proposal packages and prototypes, either based on standardized proposals or customized for more complex offerings.
In projects where work is subcontracted, work with partners and third parties to deliver a project in a prime contractor or subcontractor role.
Apply project management skills to facilitate projects to ensure all stakeholders in the projects are well informed, to track and monitor status of the projects, to ensure projects will complete as expected and planned.
Apply a sound technical background to help deliver complex technical and integration solutions to customers and resolve technical questions.
Meet with the customer to identify their needs and requirements and to propose architecture/application and services to client needs, composed of all the SWIFT attributes, messaging, standards, interface software and services.
Translate business and technical requirements into a Project Plan
Manages development of business case and may present business case.
Monitor, maintain and report to team, customers and project manager on the project status on a continuous basis and for the duration of the project.
Assist with technical responses to customer RFIs and RFPs.
Work with accounts manager and customer project manager to ensure the project stays on track in terms of cost, schedule, quality, resources versus plans and take corrective actions if necessary. Review status of all projects on a regular basis and escalate when appropriate.
In line with team objectives, support (region) teams by defining processes, and transfer knowledge
Leverage existing knowledge of the Project Management methodology, skills, tools to enable training for team members.
Drive the improvement of best practices and advocate them across the division.
Develop framework and manage the tracking of interdependencies within or across projects. 
Act as a project management authority in the context of the scoping new and complex service proposals.
May determine the impact of current/existing technologies on ongoing and future projects.
Interpret less defined guidelines to make recommendations for process improvements and/or enhancements.
Require complex planning to coordinate with other departments or resources.
Oversee transition of project team members to new projects.
Ensure lessons learned in the context of project management are documented, diffused amongst the division and applied to future efforts.
  Our employees are the foundation of our success. If you are motivated by being part of a dynamic, growing and engaging work environment, in a firm obsessed with creating value for its member community, SWIFT is a good fit for you. We value expertise, integrity and customer focus.
  This role is part of the APAC Commercial organisation. You will be part of a team of pre-sales solution architects for one or more sub-regions, providing technical expertise and partnership to our clients as they solve their pressing business needs.","Requirements
Qualifications:
Do you have what it takes?
University degree in Business, Marketing, Computer Science or related fields, or equivalent experience. 
Minimum of 10  years of experience in the financial services or related industry.
Experience in SWIFT products, services and standards messaging solutions
Experience in market infrastructure (e.g. central bank, stock exchange, clearing house, central securities depository) systems or operations would be advantageous. 
Able to work in a multi-cultural and multi-country team environment
Fluent in English written or spoken  
Ability to lead a team with strong, analytical and customer orientation skills
Knowledge in modern integration techniques and technologies, especially Service Oriented Architectures, application server and Web services 
 "
36,36,https://www.mycareersfuture.sg/job/regional-consultant-bi-performance-mgt-personnel-link-jobhub-32cfccf88379c7aed57150d38a498424,Islandwide,PERSONNEL LINK JOBHUB PTE. LTD.,"Regional Consultant, BI & Performance Mgt (MNC / Cloud based / Presales & Projects Implementation / East)",Full Time,Senior Executive,"Consulting , Engineering, Information Technology","$5,000to$6,000",Monthly,"Roles & Responsibilities
Global leader in the Business Intelligence & Corporate Performance Management Toolkit space. Cloud based single software platform and programmable free approach.
Working in the Consulting Services Team and playing a major role in driving the services business in the South East & North Asia region.
Presales, project implementations, end-user support and partner/user trainings.
A comprehensive training program on their consulting approach will be provided to the successful candidate.","Requirements
•               Bachelor Degree
•               At least 3 years of experiences in multi-dimensional database design; functional experience with Business Intelligence/Corporate Performance Management /Analytics Projects
•               Experience with any BI/CPM/Analytical tools
•               Strong analytical, problem-solving and creative skills
•               Proactive, enthusiastic team player with unrelenting drive to deliver results
•               Support customers in key countries such as China, Hong Kong, Taiwan, Indonesia
•               Monthly salary + 20% performance bonus
We invite interested candidates to send in your updated resume (in MS Word Format), theresa@personnellink.com.sg cc Career@personnellink.com.sg stating your reason(s) for leaving each employment and your current/expected salary package. Please indicate the position you are applying in your email subject.
We regret to inform that only shortlisted candidates will be notified.
EA License: 90C3627
EA Reg No: R1108020           "
37,37,https://www.mycareersfuture.sg/job/assistant-manager-finance-cimb-bank-berhad-b7a28f3e504acaa126b11d3f1097301b,Central,CIMB BANK BERHAD,"Assistant Manager, Finance (Financial Planning & Decision Support)",Permanent,Senior Executive,Banking and Finance,"$4,000to$5,000",Monthly,"Roles & Responsibilities
Assist in the preparation of monthly financial performance analysis
Monitor and provide commentaries for the budget / forecast achievements for business units and the Bank
Assist in the annual budgeting and monthly / quarterly forecasting process
Liaise with stakeholders and ensure timely communication on budgeting and forecasting matters
Prepare reporting decks performance meetings, and keep track of follow-ups
Support the CFO with timely and insightful analysis
Perform forward-looking ad-hoc analysis, such as bench-marking, margin analysis, scenario analysis, etc
Generation and submission of relevant financial reports and analyses
Support in the design and implementation of business intelligence tools
Involve in continuous improvement efforts and ad-hoc projects","Requirements
Degree in Accountancy / Finance, or ACCA, with strong academic track record
3 to 4 years of relevant experience in financial planning and analysis in banks / financial institutions with some Big 4 audit fundamentals 
Proficient with Microsoft excel, power point and other office applications
Good communication with all stakeholders and excellent interpersonal and team working skills
A keen eye for detail and desire to probe further into data
Demonstrate good analytical skills with ability to work and meet tight deadlines
Must have initiative, be willing to learn and possess the can-do attitude"
